season1v1,season1v2,season1v3,season1v4,season1v5,season1v6,season1v7,season1v8,season1v9,season1v10,season1v11,season1v12,season2v1,season2v2,season2v3,season2v4,season2v5,season2v6,season2v7,season2v8,season2v9,season2v10,season2v11,season2v12,season3v1,season3v2,season3v3,season3v4,season3v5,season3v6,season3v7,season3v8,season3v9,season3v10,season3v11,season3v12,location,site,distanthro,elev,precp1v1,precp1v2,precp1v3,precp1v4,precp1v5,precp1v6,precp1v7,precp1v8,precp1v9,precp1v10,precp1v11,precp1v12,precp2v1,precp2v2,precp2v3,precp2v4,precp2v5,precp2v6,precp2v7,precp2v8,precp2v9,precp2v10,precp2v11,precp2v12,precp3v1,precp3v2,precp3v3,precp3v4,precp3v5,precp3v6,precp3v7,precp3v8,precp3v9,precp3v10,precp3v11,precp3v12,tmean1v1,tmean1v2,tmean1v3,tmean1v4,tmean1v5,tmean1v6,tmean1v7,tmean1v8,tmean1v9,tmean1v10,tmean1v11,tmean1v12,tmean2v1,tmean2v2,tmean2v3,tmean2v4,tmean2v5,tmean2v6,tmean2v7,tmean2v8,tmean2v9,tmean2v10,tmean2v11,tmean2v12,tmean3v1,tmean3v2,tmean3v3,tmean3v4,tmean3v5,tmean3v6,tmean3v7,tmean3v8,tmean3v9,tmean3v10,tmean3v11,tmean3v12
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,0,1,1,NA,1,1,0,NA,NA,1,1,1,NA,1,1,NA,Cooper,s1,31.425,1129.29,633,231,172,290,405,157,200,182,159,146,29,84,52,121,53,359,119,156,268,186,310,90,289,343,571,254,509,475,237,143,112,199,77,290,247,242,15.86,14.185,14.595,17.405,18.03,17.47,19.12,18.835,17.87,19.005,17.91,15.685,14.885,14.59,16.295,14.935,18.625,18.06,18.92,19.045,18.745,18.295,16.11,15.275,15.095,16.57,14.935,16.255,17.23,17.64,18.08,19.13,18.72,18.28,16.735,15.875
NA,1,NA,NA,1,NA,NA,1,0,0,0,0,NA,NA,1,NA,NA,0,0,0,1,1,NA,0,1,0,0,NA,0,NA,NA,NA,1,1,1,0,Cooper,s2,38.45,1121.81,633,233,172,293,406,158,202,183,160,147,29,86,52,121,53,363,120,157,269,188,311,90,290,347,570,254,512,479,237,144,112,198,78,291,248,243,15.81,14.145,14.52,17.41,18.045,17.45,19.115,18.82,17.915,18.995,17.885,15.7,14.835,14.57,16.19,14.925,18.615,18.035,18.905,19.025,18.73,18.315,16.105,15.205,15.05,16.515,14.82,16.175,17.19,17.63,18.075,19.125,18.75,18.265,16.745,15.86
NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1,1,0,NA,0,NA,NA,NA,NA,1,NA,1,0,Cooper,s3,55.693,1112.17,640,235,175,294,412,162,207,188,165,150,29,88,53,123,53,368,123,161,275,192,317,92,295,350,575,257,521,486,240,148,115,202,79,298,252,247,15.86,14.2,14.56,17.5,18.155,17.53,19.19,18.89,18.035,19.08,17.955,15.8,14.875,14.645,16.175,15.005,18.695,18.095,18.965,19.085,18.805,18.425,16.18,15.225,15.09,16.56,14.8,16.195,17.24,17.715,18.175,19.22,18.865,18.34,16.85,15.915
NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,NA,0,1,0,0,NA,0,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,1,0,NA,Cooper,s4,134.289,1107.07,649,241,179,299,420,169,215,195,171,156,30,94,53,125,54,380,127,166,284,200,327,95,303,358,582,260,537,501,244,153,118,206,82,309,257,252,15.835,14.2,14.59,17.59,18.27,17.575,19.25,18.925,18.165,19.135,17.985,15.91,14.85,14.685,16.045,15.065,18.76,18.12,19,19.12,18.855,18.54,16.24,15.165,15.075,16.545,14.685,16.125,17.23,17.775,18.275,19.29,18.995,18.39,16.96,15.955
NA,1,0,NA,1,NA,NA,1,1,1,1,0,0,NA,1,0,NA,1,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,Cooper,s5,228.196,1100.79,649,241,179,299,420,169,215,195,171,156,30,94,53,125,54,380,127,166,284,200,327,95,303,358,582,260,537,501,244,153,118,206,82,309,257,252,15.835,14.2,14.59,17.59,18.27,17.575,19.25,18.925,18.165,19.135,17.985,15.91,14.85,14.685,16.045,15.065,18.76,18.12,19,19.12,18.855,18.54,16.24,15.165,15.075,16.545,14.685,16.125,17.23,17.775,18.275,19.29,18.995,18.39,16.96,15.955
NA,1,NA,NA,1,NA,NA,NA,0,NA,0,0,NA,NA,1,NA,0,NA,1,1,0,NA,0,0,0,NA,0,0,NA,1,NA,0,1,NA,0,0,Cooper,s6,144.006,1118.84,633,231,172,290,405,157,200,182,159,146,29,84,52,121,53,359,119,156,268,186,310,90,289,343,571,254,509,475,237,143,112,199,77,290,247,242,15.86,14.185,14.595,17.405,18.03,17.47,19.12,18.835,17.87,19.005,17.91,15.685,14.885,14.59,16.295,14.935,18.625,18.06,18.92,19.045,18.745,18.295,16.11,15.275,15.095,16.57,14.935,16.255,17.23,17.64,18.08,19.13,18.72,18.28,16.735,15.875
NA,NA,NA,NA,NA,1,NA,1,NA,0,0,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,NA,1,NA,1,0,NA,NA,1,1,NA,1,NA,Cooper,s7,231.263,1113.02,639,234,174,292,410,161,205,186,163,149,29,86,53,123,54,364,121,160,273,190,316,92,294,346,576,257,518,482,239,146,114,202,79,296,251,245,15.915,14.245,14.625,17.51,18.145,17.56,19.2,18.915,18.02,19.095,17.975,15.79,14.955,14.675,16.29,15.025,18.71,18.13,18.99,19.115,18.825,18.42,16.195,15.3,15.155,16.615,14.92,16.28,17.285,17.735,18.17,19.235,18.85,18.365,16.845,15.94
NA,NA,1,NA,1,NA,NA,1,1,0,1,NA,NA,1,1,1,1,1,1,1,0,1,NA,1,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,Cooper,s8,218.983,1100.28,639,234,174,292,410,161,205,186,163,149,29,86,53,123,54,364,121,160,273,190,316,92,294,346,576,257,518,482,239,146,114,202,79,296,251,245,15.915,14.245,14.625,17.51,18.145,17.56,19.2,18.915,18.02,19.095,17.975,15.79,14.955,14.675,16.29,15.025,18.71,18.13,18.99,19.115,18.825,18.42,16.195,15.3,15.155,16.615,14.92,16.28,17.285,17.735,18.17,19.235,18.85,18.365,16.845,15.94
NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,NA,1,NA,NA,1,0,0,NA,NA,1,1,1,1,1,1,NA,Cooper,s9,317.705,1099.41,648,239,178,296,418,167,213,193,169,154,30,91,54,125,54,375,125,166,282,197,325,95,301,354,581,260,533,496,243,152,117,206,81,307,256,251,15.89,14.245,14.615,17.58,18.255,17.595,19.255,18.945,18.135,19.145,18,15.885,14.905,14.71,16.16,15.07,18.76,18.14,19.01,19.14,18.865,18.525,16.245,15.235,15.12,16.595,14.775,16.205,17.275,17.785,18.255,19.3,18.96,18.405,16.945,15.97
NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,0,1,0,0,NA,NA,NA,1,NA,1,0,0,0,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,Cooper,s10,369.13,1095.3,655,242,182,299,424,171,219,199,174,158,30,93,54,127,55,382,128,170,288,202,332,98,306,358,588,263,545,505,246,156,120,210,83,316,260,255,15.92,14.28,14.66,17.645,18.335,17.645,19.305,18.99,18.22,19.205,18.045,15.96,14.955,14.765,16.135,15.13,18.82,18.18,19.05,19.18,18.915,18.6,16.295,15.23,15.16,16.615,14.765,16.21,17.3,17.845,18.33,19.365,19.045,18.455,17.025,16.005
